date,close,high,low,open,quoteVolume,volume,weightedAverage
2017-12-17,1825.00000009,1910.2,1770.80000002,1777.0,7981.42253349,14664826.402992,1837.37001035
2017-12-18,2139.15582406,2315.0,1745.0,1830.26496005,21214.36001944,43562732.611034,2053.45495085
2017-12-19,2667.82465542,2800.0,2052.0,2154.99999992,26173.2483346,62517357.631189,2388.59757993
2017-12-20,3709.44000016,4211.99999995,2665.0,2667.82465542,50386.35076072,173325726.36121,3439.93410406
2017-12-21,2993.61806834,3728.99999997,2755.00000816,3709.44000016,15923.96106591,51255404.988897,3218.7597531
2017-12-22,2456.0,3131.79787,1812.00044563,2993.61806834,30357.75514581,72769962.275834,2397.07982116
2017-12-23,2884.99999999,3156.07499999,2403.50084061,2456.0,16651.19619729,48373900.435237,2905.13065019
2017-12-24,2774.99999997,2891.99999999,2359.99999992,2850.16012975,14500.99860147,38257120.300538,2638.24039653
2017-12-25,2725.99999981,2875.743,2560.00000001,2774.99999998,9707.20769167,26735007.706325,2754.13986756
2017-12-26,2921.99999988,2923.00000401,2693.74000027,2710.00000071,7693.78914356,21666108.885892,2816.05181551
2017-12-27,2702.004,2921.99999969,2560.83736958,2921.99999969,5607.54616839,15561112.204388,2775.03059932
2017-12-28,2467.87768943,2725.00000139,2255.0,2716.69999995,5894.17954328,14320821.548307,2429.65478793
2017-12-29,2594.00000019,2872.31999998,2287.33026301,2468.07269711,6093.93070506,15742406.797749,2583.29271527
2017-12-30,2202.62006308,2628.14132656,2055.00023,2604.12996458,7870.47889387,17929573.632189,2278.07911995
2017-12-31,2360.00000046,2480.0,2140.0,2172.62800129,3120.89041543,7321241.0373426,2345.88212426
2018-01-01,2302.00000123,2408.58019396,2240.0,2361.0,2115.15955181,4949487.9260766,2340.00689065
2018-01-02,2554.37663621,2699.99999999,2299.55346079,2302.00000123,4169.94268652,10448504.891078,2505.67110307
2018-01-03,2559.0,2776.99999999,2502.99999992,2551.83,5009.1001806,13029158.240432,2601.09755658
2018-01-04,2375.99999968,2559.99999966,2298.00000001,2559.99999966,5866.234674,14125428.606087,2407.92081992
2018-01-05,2390.00134691,2525.23360115,2301.111,2350.09998995,4517.14878865,10785244.100453,2387.62206096
2018-01-06,2536.52999996,2640.29999984,2320.0,2390.00134685,4995.9572421,12347557.015367,2471.50974618
2018-01-07,2523.81749996,2755.0,2486.10000007,2530.84734984,5138.06954286,13509551.858891,2629.30498433
2018-01-08,2385.3922625,2560.3299998,2150.14000001,2523.81749968,5948.54695202,14087032.281479,2368.14677518
2018-01-09,2354.25400013,2488.99999999,2306.254783,2403.99027522,3435.58127319,8201541.49779,2387.2354765
2018-01-10,2840.00244772,2937.99987,2270.79627545,2361.91582469,10696.01835348,28015154.729093,2619.21341224
2018-01-11,2437.0,2959.99999998,2300.0,2841.00000005,9465.72751782,23935205.409363,2528.61762229
2018-01-12,2595.86549001,2623.85499882,2353.0,2437.00000001,3250.30095198,8200938.35483,2523.13200407
2018-01-13,2654.43287844,2853.27068489,2550.44810306,2595.86549001,3706.57598869,9989665.1380065,2695.11947643
2018-01-14,2514.97952528,2724.05,2410.49999992,2654.43287844,2430.07078664,6172843.4524492,2540.19079871
2018-01-15,2378.0,2549.20000117,2331.9,2514.97952534,2590.88396586,6300484.9169127,2431.78969028
2018-01-16,1710.15220283,2404.18393655,1512.01838485,2381.0,13398.54161453,26104583.048698,1948.31525696
2018-01-17,1734.0,1870.0,1340.57391966,1720.3455569,13177.79547366,21458173.737642,1628.35838365
2018-01-18,1688.43193196,1878.73165179,1659.0,1742.0,5475.20877067,9685406.2973024,1768.95652804
2018-01-19,1738.0,1831.47519329,1671.54761385,1688.43193195,2391.00765449,4193884.2428681,1754.02376273
2018-01-20,2016.89999941,2207.9972141,1728.76924856,1728.76924856,9041.3001316,18161558.964478,2008.73311361
2018-01-21,1761.54,2025.08801636,1692.00000014,2016.89999942,4869.62601548,8992907.6227168,1846.7347583
2018-01-22,1595.54829647,1807.8574737,1500.0,1769.30335802,5939.77400367,9479142.7088089,1595.87598837
2018-01-23,1613.47199997,1690.9389475,1480.00000003,1603.5647918,2924.04583769,4610507.7611656,1576.75632226
2018-01-24,1650.786,1679.19754753,1550.00000002,1613.47199998,3793.99815156,6168188.1305587,1625.77520709
2018-01-25,1630.07717881,1700.00000007,1600.0,1650.78600002,3531.25930057,5837493.5625928,1653.09116825
